id,name,description,price,tags,imageUrl
B01EMUT7XE,"LG G3 Case,LG G3 Wallet Case,Flipcase [Wallet Case] PU Leather Protrctive Wallet Case Flip Stand Case with Card Slots Cover for LG G3#021","1.LG G3 Leather Case,Made of high quality PU leather, just for your Phone LG G3. Refined, functional, and practical, this folio cover fully protects your Phone and lets its natural beauty shine unhindered. 2.The LG G3 case is had Stand MultiFunction,The book case for LG G3 combines the wallet, credit card holder and stand-view feature, Magnetic closure allows quick and easy snap on installation. when you watch TV and play game and so on,provide you watch video without hand-hold. 3.G3 Case,Leather LG G3 Case,Included card slots : carry around your ID, credit or debit cards, and without having to take your wallet with you. Suitable for everyday life and business trip. 4.LG G3 Wallet Case,All opening, buttons, connectors and speaker position are placed perfectly to your Specifically designed for LG G3. Engineered to emphasize thinness without compromising Phone security. Precise cutouts give you full access to ports, and sensitive button covers allow responsive presses. 5.LG G3 Case,LG G3 Accessories,All products listed by Flipcase are exclusively sold and distributed by Flipcase,Available in a variety of bright and fun colors. This product is sold exclusively by Flipcase. Please take a close look at the size and color you want of the product before making the purchase. Want to know more about our products on sale? Just type ""Flipcase + your tablet case/phone case+ color"".",90.97,"access,available,beauty,book,bright,business,button,card,case,close,closure,color,connector,cover,credit,cutout,debit,easy,everyday,flip,flipcase,folio,fun,functional,g3,game,hand,high,hold3,holder,installation,leather,life,look,magnetic,multifunction,natural,opening,phone,port,position,practical,precise,press,presses5,product,protrctive,purchase,quality,quick,refined,responsive,sale,security,sensitive,shine,size,slot,snap,speaker,suitable,tablet,thinness,trip,trip4,type,unhindered,unhindered2,variety,video,view,wallet",https://images-na.ssl-images-amazon.com/images/I/51-x8Yi933L.jpg
B013HNCAZE,Kiwuu Multipurpose Classic Style Luxury Soft Pu Leather Case Pouch Cover/cross Body Bag with Strap Fit for Phones Size Less Than 6.3&quot;(deepbrown 2),,45.19,"bag,body,case,classic,cover,cross,deepbrown,deepbrown2,fit,kiwuu,leather,luxury,multipurpose,phone,pouch,quot,size,soft,strap,style,than6",https://images-na.ssl-images-amazon.com/images/I/51VcxP9RaBL.jpg
B01HDJG572,"Galaxy J3 Case, GreenElec [Free Tempered Glass] [Brushed Metal Texture] Hybrid Dual Layer Protector Case Cover With [Slim Fit] [Shock Absorption] for Samsung Galaxy J3 / Amp Prime / Express Prime",,16.76,"absorption,amp,case,dual,fit,free,galaxy,glass,greenelec,hybrid,j3,layer,metal,prime,protector,samsung,shock,slim,texture",https://images-na.ssl-images-amazon.com/images/I/51nDFCaHZyL.jpg
B00OQHDGBS,Ultra Slim Flip Bracket Cover Case for iPhone 6 5.5 Inch - Premium Soft PU Leather [ Wallet ] Case Cover for iPhone 6 Plus 5.5 Inch (2014 (Royal Blue),,19.01,"blue,bracket,case,cover,flip,inch,inch2014,iphone,iphone6,leather,plus5,premium,royal,slim,soft,ultra,wallet",https://images-na.ssl-images-amazon.com/images/I/51tI6v1AMBL.jpg
B00QPP8VE6,Mavis's Diary 3D Handmade Crystal Butterfly and Flowers Rhinestone Diamond with Clear Hard Case Cover for Samsung Galaxy S5 I9600 with Soft Clean Cloth (Golden Butterfly Pink Case+Stylus Pen+HD Screen Protector),,73.22,"3d,butterfly,case,clean,clear,cloth,cover,crystal,diamond,diary,flower,galaxy,golden,handmade,hard,i9600,mavis,pen,pink,protector,rhinestone,s5,samsung,screen,soft,stylus",https://images-na.ssl-images-amazon.com/images/I/31UgsvknNLL.jpg
B009KSDJJM,Griffin Survivor Armored Edition iPhone 4/4s Blue on Red,,24.93,"4s,armored,blue,edition,griffin,iphone,iphone4,red",https://images-na.ssl-images-amazon.com/images/I/41bnJJJjJQL.jpg
B01DJU9YUO,XDesign iPhone 5S / 5 / SE Clear Case Hybrid Scratch Resistant Bumper Case for iPhone Se/ 5s/ 5 [Ultra Clear][Anti Scratch][Shock Absorption] - Clear Peach Rose,"iPhone se case , clear cushion protective clear bumper for apple iPhone se 2016 and iPhone 5s 5 scratch resistant integrated shock-absorbing bumper cover hard back panel -peach rose.",90.49,"5s,absorption,anti,apple,bumper,case,clear,cover,cushion,hybrid,iphone,panel,peach,protective,resistant,scratch,se2016,shock,ultra",https://images-na.ssl-images-amazon.com/images/I/4188bo6x5ZL.jpg
B00BVHHX9C,Genuine Real Natural Leather Case Fit Nokia Lumia 920 Book Handmde Wallet Stand Creditcards Id Free Shipping !,"Genuine Full Leather Case Fitnokia lumia 920  Book Cover Wallet htc butterfly s sony xperia z new nokia lumia 920 1020 and htc one galaxy s3 s4  new!  genuine  leather Special design CASE   Description    Color: brown  100% real picture !   Brand: new      Shipping: FRRE !  This item will ship WORLDWIDE ! We ship in 24 hours. We ship in 24 hours. from israel the shipping time 7-17 Businesses days + track n.o by israelpost    Please feel easy to contact to us, about this item   Thank you for looking     AMAZON SHOP-LEATHER",29.07,"amazon,book,brand,brown,brown100,business,butterfly,case,color,cover,creditcard,day,description,design,easy,fit,fitnokia,free,frre,galaxy,genuine,handmde,hour,htc,israel,israelpost,item,leather,lumia,lumia920,natural,new,nokia,picture,real,s3,s4,ship24,shipping,shop,sony,special,time,time7,wallet,xperia",https://images-na.ssl-images-amazon.com/images/I/51AEyOYBZgL.jpg
B00U2WHSYM,Speck Products CandyShell Grip Case for Samsung Galaxy S6 - Retail Packaging - Charcoal Grey/Wisteria Purple,"Sharp shooter looking for Samsung Galaxy S6 cases? CandyShell Grip is the case for you. Taking our patented CandyShell protection and adding no-slip grips, this sleek case is perfect for getting the shot. CandyShell Grip's ridges run along the back and sides for a hold that's ideal for snapping pictures, plus one-handed and two-handed texting, gaming, shooting video and more with your Samsung Galaxy S6.",34.5,"candyshell,case,charcoal,galaxy,gaming,grey,grip,handed,hold,ideal,packaging,perfect,picture,product,protection,retail,ridge,s6,samsung,sharp,shooter,shooting,shot,side,sleek,slip,speck,texting,video,wisteria",https://images-na.ssl-images-amazon.com/images/I/41oU6ElzH-L.jpg
B00OCGN5O6,FOXNOVO Finger Ring Sizer Mandrel Finger Sizing Stick Size 1-13 Metal Finger Gauge (Silver),,17.43,"finger,foxnovo,gauge,mandrel,metal,ring,silver,size,size1,sizer,stick",https://images-na.ssl-images-amazon.com/images/I/51%2BXpzxbuPL.jpg
